DateTime,PV_Predicted,PV_Actual,WT_Predicted,WT_Actual,ED_Predicted,ED_Actual,HD_Predicted,HD_Actual,TAS94,FIT
2023-01-01 00:00:00,0.0,0.0,98.35,93.85,66.98,67.5,36.18,37.3,0.15,0.09
2023-01-01 00:30:00,0.0,0.0,63.74,70.88,82.98,75.43,43.58,42.06,0.15,0.09
2023-01-01 01:00:00,0.0,0.0,101.81,105.0,85.13,82.77,38.73,37.63,0.15,0.09
2023-01-01 01:30:00,0.0,0.0,89.75,88.71,84.84,84.06,31.28,30.56,0.15,0.09
2023-01-01 02:00:00,0.0,0.0,101.47,100.48,81.27,83.39,23.51,24.4,0.15,0.09
2023-01-01 02:30:00,0.0,0.0,74.37,74.75,68.66,65.75,19.52,19.66,0.15,0.09
2023-01-01 03:00:00,0.0,0.0,103.46,99.21,67.93,68.73,28.01,27.72,0.15,0.09
2023-01-01 03:30:00,0.0,0.0,127.31,134.9,60.73,58.32,19.69,18.46,0.15,0.09
2023-01-01 04:00:00,0.0,0.0,122.22,118.28,77.48,75.68,49.75,53.01,0.15,0.09
2023-01-01 04:30:00,0.0,0.0,128.17,118.48,88.14,76.36,2.92,2.97,0.15,0.09
2023-01-01 05:00:00,0.0,0.0,147.49,141.52,85.31,79.08,22.71,21.78,0.15,0.09
2023-01-01 05:30:00,0.0,0.0,153.05,154.99,96.46,99.44,28.37,27.6,0.15,0.09
2023-01-01 06:00:00,0.0,0.0,141.57,135.19,100.81,99.84,7.94,7.62,0.15,0.09
2023-01-01 06:30:00,4.11,4.16,144.08,134.24,128.99,131.95,30.24,29.85,0.15,0.09
2023-01-01 07:00:00,15.45,14.8,145.39,144.0,133.03,132.85,27.68,29.83,0.25,0.15
2023-01-01 07:30:00,36.41,37.49,102.07,102.8,138.14,139.15,3.56,3.74,0.25,0.15
2023-01-01 08:00:00,64.86,64.33,81.62,79.7,165.96,147.29,0.0,0.0,0.25,0.15
2023-01-01 08:30:00,91.99,97.42,100.2,100.65,157.08,159.92,30.25,28.65,0.25,0.15
2023-01-01 09:00:00,135.29,133.42,128.42,133.38,133.27,130.5,20.72,22.48,0.25,0.15
2023-01-01 09:30:00,163.47,153.81,131.89,136.44,135.34,123.17,3.81,3.43,0.25,0.15
2023-01-01 10:00:00,203.73,197.04,80.42,84.65,101.77,99.63,4.07,3.93,0.25,0.15
2023-01-01 10:30:00,206.6,215.49,124.12,121.08,90.76,96.44,11.11,11.44,0.25,0.15
2023-01-01 11:00:00,240.96,243.69,128.82,135.05,94.88,94.87,33.31,32.47,0.25,0.15
2023-01-01 11:30:00,221.58,221.98,79.89,80.55,77.9,74.62,7.71,7.67,0.25,0.15
2023-01-01 12:00:00,230.26,231.46,81.92,75.2,67.79,71.96,25.06,26.02,0.25,0.15
2023-01-01 12:30:00,251.21,259.37,80.72,80.81,72.62,63.78,31.38,31.96,0.25,0.15
2023-01-01 13:00:00,241.55,232.23,91.09,99.41,84.52,84.3,2.44,2.53,0.25,0.15
2023-01-01 13:30:00,212.12,215.82,73.58,75.22,63.68,60.39,38.42,36.54,0.25,0.15
2023-01-01 14:00:00,176.01,189.88,66.64,62.19,59.86,61.61,49.92,50.58,0.25,0.15
2023-01-01 14:30:00,165.99,149.78,51.42,46.92,60.7,60.59,12.01,12.69,0.25,0.15
2023-01-01 15:00:00,134.87,131.79,32.37,31.96,80.19,76.53,0.0,0.0,0.25,0.15
2023-01-01 15:30:00,99.61,94.27,71.71,78.66,67.69,70.87,31.51,31.58,0.25,0.15
2023-01-01 16:00:00,67.4,68.12,48.91,49.37,93.37,89.66,34.32,35.5,0.25,0.15
2023-01-01 16:30:00,36.15,36.71,43.1,47.1,101.84,101.8,23.07,24.16,0.25,0.15
2023-01-01 17:00:00,15.59,15.52,41.6,40.89,124.57,125.03,20.53,20.45,0.25,0.15
2023-01-01 17:30:00,4.68,4.67,34.7,33.48,135.25,116.53,29.16,30.02,0.25,0.15
2023-01-01 18:00:00,0.0,0.0,55.54,52.37,150.8,162.34,0.0,0.0,0.25,0.15
2023-01-01 18:30:00,0.0,0.0,44.65,40.06,172.74,181.87,20.25,19.94,0.25,0.15
2023-01-01 19:00:00,0.0,0.0,36.95,36.63,193.54,183.46,8.47,9.2,0.25,0.15
2023-01-01 19:30:00,0.0,0.0,74.07,70.91,182.74,169.99,34.53,35.25,0.25,0.15
2023-01-01 20:00:00,0.0,0.0,76.82,79.22,156.11,154.13,4.84,5.33,0.25,0.15
2023-01-01 20:30:00,0.0,0.0,76.69,79.66,147.77,152.95,13.95,13.45,0.25,0.15
2023-01-01 21:00:00,0.0,0.0,52.45,49.6,100.79,99.96,22.01,23.94,0.25,0.15
2023-01-01 21:30:00,0.0,0.0,70.11,66.83,94.98,90.03,0.0,0.0,0.25,0.15
2023-01-01 22:00:00,0.0,0.0,98.96,93.59,87.52,90.94,8.46,8.92,0.25,0.15
2023-01-01 22:30:00,0.0,0.0,77.53,77.2,67.91,64.85,23.69,24.4,0.25,0.15
2023-01-01 23:00:00,0.0,0.0,85.73,86.48,57.04,59.42,46.4,43.7,0.25,0.15
2023-01-01 23:30:00,0.0,0.0,99.94,91.47,58.64,55.24,37.04,39.83,0.15,0.09
