DateTime,PV_Predicted,PV_Actual,WT_Predicted,WT_Actual,ED_Predicted,ED_Actual,HD_Predicted,HD_Actual,TAS94,FIT
2023-01-01 00:00:00,0.0,0.0,80.49,78.04,68.16,61.92,28.13,28.84,0.15,0.09
2023-01-01 00:30:00,0.0,0.0,97.9,100.1,66.21,68.11,32.78,32.83,0.15,0.09
2023-01-01 01:00:00,0.0,0.0,79.08,76.15,58.03,57.08,54.22,53.01,0.15,0.09
2023-01-01 01:30:00,0.0,0.0,78.82,82.49,61.18,59.09,11.92,12.45,0.15,0.09
2023-01-01 02:00:00,0.0,0.0,61.36,60.82,69.14,70.49,0.0,0.0,0.15,0.09
2023-01-01 02:30:00,0.0,0.0,115.7,109.68,65.11,65.31,43.99,42.57,0.15,0.09
2023-01-01 03:00:00,0.0,0.0,91.21,92.15,53.49,49.72,36.3,37.49,0.15,0.09
2023-01-01 03:30:00,0.0,0.0,123.33,126.77,57.99,56.6,14.23,14.25,0.15,0.09
2023-01-01 04:00:00,0.0,0.0,111.87,115.7,67.32,63.8,14.55,14.59,0.15,0.09
2023-01-01 04:30:00,0.0,0.0,97.08,93.26,72.54,74.57,7.36,7.41,0.15,0.09
2023-01-01 05:00:00,0.0,0.0,83.58,78.24,67.23,66.53,15.62,15.62,0.15,0.09
2023-01-01 05:30:00,0.0,0.0,99.19,98.1,66.51,64.11,5.93,5.79,0.15,0.09
2023-01-01 06:00:00,0.0,0.0,106.37,104.71,80.43,80.59,32.11,32.92,0.15,0.09
2023-01-01 06:30:00,4.86,5.25,109.22,104.43,95.36,93.1,26.45,27.5,0.15,0.09
2023-01-01 07:00:00,19.33,20.01,118.76,108.68,122.75,118.99,26.42,26.05,0.25,0.15
2023-01-01 07:30:00,42.77,43.38,87.67,83.11,140.39,138.36,13.64,12.82,0.25,0.15
2023-01-01 08:00:00,76.36,82.33,98.3,102.83,131.44,129.01,42.34,40.06,0.25,0.15
2023-01-01 08:30:00,107.17,100.61,97.87,98.09,129.61,139.88,53.48,59.54,0.25,0.15
2023-01-01 09:00:00,153.19,150.58,116.37,111.33,122.34,123.06,22.04,24.54,0.25,0.15
2023-01-01 09:30:00,167.95,171.33,105.22,93.7,96.66,110.07,13.04,12.06,0.25,0.15
2023-01-01 10:00:00,238.28,236.32,94.21,87.34,88.78,94.14,18.23,16.87,0.25,0.15
2023-01-01 10:30:00,224.84,205.66,87.12,87.78,77.46,76.25,4.97,5.01,0.25,0.15
2023-01-01 11:00:00,284.41,284.53,67.4,70.59,70.11,69.57,18.03,18.85,0.25,0.15
2023-01-01 11:30:00,286.7,297.98,82.54,90.47,61.9,63.94,14.91,15.34,0.25,0.15
2023-01-01 12:00:00,259.85,278.67,41.26,38.23,52.32,51.4,28.49,27.92,0.25,0.15
2023-01-01 12:30:00,281.34,294.96,51.34,50.1,49.81,46.42,24.68,24.0,0.25,0.15
2023-01-01 13:00:00,267.99,254.45,55.85,53.46,64.63,63.04,33.73,31.73,0.25,0.15
2023-01-01 13:30:00,271.12,274.43,70.49,66.8,55.35,59.46,11.47,11.32,0.25,0.15
2023-01-01 14:00:00,210.86,210.12,67.71,63.76,50.26,50.14,0.0,0.0,0.25,0.15
2023-01-01 14:30:00,168.65,177.02,64.59,68.5,73.92,70.09,42.95,41.51,0.25,0.15
2023-01-01 15:00:00,141.76,137.82,65.94,64.1,63.04,64.46,44.6,41.09,0.25,0.15
2023-01-01 15:30:00,102.41,106.71,42.47,42.15,62.73,66.62,17.83,17.26,0.25,0.15
2023-01-01 16:00:00,71.16,71.64,45.65,51.66,81.3,88.12,20.94,21.3,0.25,0.15
2023-01-01 16:30:00,45.74,46.67,33.3,35.82,81.85,84.57,60.33,61.04,0.25,0.15
2023-01-01 17:00:00,17.42,14.91,51.78,50.59,94.36,95.62,42.56,41.42,0.25,0.15
2023-01-01 17:30:00,4.39,4.33,28.26,26.14,128.32,120.38,15.2,14.76,0.25,0.15
2023-01-01 18:00:00,0.0,0.0,51.2,52.07,147.11,151.91,0.65,0.7,0.25,0.15
2023-01-01 18:30:00,0.0,0.0,86.4,87.53,162.05,164.2,23.17,21.96,0.25,0.15
2023-01-01 19:00:00,0.0,0.0,74.86,72.59,161.5,167.93,23.72,23.94,0.25,0.15
2023-01-01 19:30:00,0.0,0.0,43.35,47.36,159.84,161.5,30.66,30.08,0.25,0.15
2023-01-01 20:00:00,0.0,0.0,38.3,38.06,137.55,135.68,29.16,28.6,0.25,0.15
2023-01-01 20:30:00,0.0,0.0,58.02,56.89,108.32,112.92,56.73,53.76,0.25,0.15
2023-01-01 21:00:00,0.0,0.0,48.08,49.33,91.78,94.95,16.4,16.21,0.25,0.15
2023-01-01 21:30:00,0.0,0.0,52.34,55.32,86.24,85.61,2.24,2.24,0.25,0.15
2023-01-01 22:00:00,0.0,0.0,93.52,95.71,67.01,62.96,16.54,14.86,0.25,0.15
2023-01-01 22:30:00,0.0,0.0,52.2,52.9,71.55,72.13,16.14,16.43,0.25,0.15
2023-01-01 23:00:00,0.0,0.0,73.68,71.44,51.37,47.78,13.69,13.49,0.25,0.15
2023-01-01 23:30:00,0.0,0.0,70.6,71.44,53.44,51.25,20.58,20.18,0.15,0.09
