DateTime,PV_Predicted,PV_Actual,WT_Predicted,WT_Actual,ED_Predicted,ED_Actual,HD_Predicted,HD_Actual,TAS94,FIT
2023-01-01 00:00:00,0.0,0.0,122.24,115.75,60.85,61.66,0.0,0.0,0.15,0.09
2023-01-01 00:30:00,0.0,0.0,114.19,111.17,52.63,52.77,24.02,22.55,0.15,0.09
2023-01-01 01:00:00,0.0,0.0,129.01,123.36,53.54,52.76,7.81,7.54,0.15,0.09
2023-01-01 01:30:00,0.0,0.0,121.44,120.87,78.86,78.45,13.77,13.98,0.15,0.09
2023-01-01 02:00:00,0.0,0.0,130.94,119.43,77.27,76.29,10.82,11.44,0.15,0.09
2023-01-01 02:30:00,0.0,0.0,142.59,132.13,71.03,71.57,17.89,18.43,0.15,0.09
2023-01-01 03:00:00,0.0,0.0,103.21,114.19,58.13,62.41,35.99,31.87,0.15,0.09
2023-01-01 03:30:00,0.0,0.0,130.48,122.08,79.58,69.37,22.36,22.7,0.15,0.09
2023-01-01 04:00:00,0.0,0.0,130.37,123.22,74.83,73.94,17.62,17.68,0.15,0.09
2023-01-01 04:30:00,0.0,0.0,129.27,141.14,75.25,75.91,4.47,4.56,0.15,0.09
2023-01-01 05:00:00,0.0,0.0,138.59,158.72,71.91,72.98,0.0,0.0,0.15,0.09
2023-01-01 05:30:00,0.0,0.0,176.51,166.17,74.94,73.54,12.71,11.39,0.15,0.09
2023-01-01 06:00:00,0.0,0.0,127.71,125.36,82.32,75.09,19.19,18.63,0.15,0.09
2023-01-01 06:30:00,6.0,6.19,165.54,168.37,122.66,124.67,46.52,47.89,0.15,0.09
2023-01-01 07:00:00,21.73,19.5,109.28,118.73,125.98,136.86,21.95,20.22,0.25,0.15
2023-01-01 07:30:00,45.19,45.08,135.6,128.91,131.22,121.16,34.74,37.3,0.25,0.15
2023-01-01 08:00:00,83.12,79.62,143.55,141.79,139.18,145.19,12.51,12.74,0.25,0.15
2023-01-01 08:30:00,109.94,103.24,149.34,155.14,142.53,140.19,2.23,2.32,0.25,0.15
2023-01-01 09:00:00,176.21,168.47,148.35,151.58,117.61,117.25,5.52,5.37,0.25,0.15
2023-01-01 09:30:00,212.81,209.26,145.97,143.22,121.28,114.9,9.12,9.49,0.25,0.15
2023-01-01 10:00:00,260.51,272.44,117.66,116.87,102.19,100.48,51.93,54.7,0.25,0.15
2023-01-01 10:30:00,271.33,253.33,110.41,102.82,88.35,94.1,7.68,7.77,0.25,0.15
2023-01-01 11:00:00,338.55,339.07,132.74,131.16,71.39,73.47,32.58,32.96,0.25,0.15
2023-01-01 11:30:00,351.11,342.61,105.55,104.15,72.56,78.85,6.46,6.54,0.25,0.15
2023-01-01 12:00:00,348.82,343.11,77.54,78.44,68.99,73.05,33.97,32.51,0.25,0.15
2023-01-01 12:30:00,300.99,316.08,75.07,72.99,70.0,71.54,25.77,25.58,0.25,0.15
2023-01-01 13:00:00,304.23,312.41,74.18,75.93,52.7,57.3,17.65,17.52,0.25,0.15
2023-01-01 13:30:00,251.97,268.82,98.52,103.5,62.57,63.94,19.39,19.76,0.25,0.15
2023-01-01 14:00:00,227.45,225.69,86.25,86.92,51.45,53.58,10.18,10.69,0.25,0.15
2023-01-01 14:30:00,215.17,207.68,93.13,94.76,65.45,64.48,26.69,25.28,0.25,0.15
2023-01-01 15:00:00,173.18,171.25,65.76,65.94,61.73,61.93,13.18,13.09,0.25,0.15
2023-01-01 15:30:00,134.39,136.02,74.37,74.37,59.01,56.96,1.62,1.74,0.25,0.15
2023-01-01 16:00:00,78.95,79.64,81.06,78.14,63.64,66.79,0.83,0.8,0.25,0.15
2023-01-01 16:30:00,46.72,44.19,59.19,60.13,88.59,83.37,22.59,21.66,0.25,0.15
2023-01-01 17:00:00,21.86,21.96,73.39,73.03,91.91,95.5,43.69,44.13,0.25,0.15
2023-01-01 17:30:00,5.21,5.27,49.03,54.17,134.73,133.45,22.4,23.35,0.25,0.15
2023-01-01 18:00:00,0.0,0.0,54.9,59.22,145.31,153.82,18.22,18.23,0.25,0.15
2023-01-01 18:30:00,0.0,0.0,54.87,55.93,154.35,160.14,24.29,25.9,0.25,0.15
2023-01-01 19:00:00,0.0,0.0,38.98,37.49,167.73,183.0,39.59,41.29,0.25,0.15
2023-01-01 19:30:00,0.0,0.0,75.77,71.55,144.63,149.91,23.29,24.27,0.25,0.15
2023-01-01 20:00:00,0.0,0.0,58.27,61.74,156.64,144.32,13.84,14.22,0.25,0.15
2023-01-01 20:30:00,0.0,0.0,71.32,72.26,121.45,121.04,36.59,40.85,0.25,0.15
2023-01-01 21:00:00,0.0,0.0,84.67,86.7,110.27,103.81,26.43,26.16,0.25,0.15
2023-01-01 21:30:00,0.0,0.0,88.05,80.37,73.44,71.54,43.04,38.73,0.25,0.15
2023-01-01 22:00:00,0.0,0.0,97.13,101.64,75.14,80.82,22.75,24.57,0.25,0.15
2023-01-01 22:30:00,0.0,0.0,86.11,88.07,69.4,71.61,1.63,1.6,0.25,0.15
2023-01-01 23:00:00,0.0,0.0,84.51,79.82,79.97,77.17,0.0,0.0,0.25,0.15
2023-01-01 23:30:00,0.0,0.0,97.01,94.72,67.78,64.35,44.76,47.69,0.15,0.09
